"Stkcd","Trddt","Dsmvtll"
"000625","2022-04-27","58343454.88"
"000625","2022-04-28","60636429.09"
"000625","2022-04-29","66687333.26"
"000625","2022-05-05","73375174.70"
"000625","2022-05-06","75031211.63"
"000625","2022-05-09","72483462.51"
"000625","2022-05-10","71846525.23"
"000625","2022-05-11","77897429.39"
"000625","2022-05-12","76177698.74"
"000625","2022-05-13","83820946.10"
"000625","2022-05-16","82101215.44"
"000625","2022-05-17","86050226.58"
"000625","2022-05-18","85158514.39"
"000625","2022-05-19","87961038.42"
"000625","2022-05-20","85922839.13"
"000625","2022-05-23","87324101.14"
"000625","2022-05-24","89680769.08"
"000625","2022-05-25","92610680.57"
"000625","2022-05-26","89871850.26"
"000625","2022-05-27","90126625.18"
"000625","2022-05-30","90062931.45"
"000625","2022-05-31","88852750.62"
"000625","2022-06-01","92483293.11"
"000625","2022-06-02","98788972.19"
"000625","2022-06-06","99744378.11"
"000625","2022-06-07","97324016.45"
"000625","2022-06-08","99935459.29"
"000625","2022-06-09","96177529.34"
"000625","2022-06-10","99362215.74"
"000625","2022-06-13","108215643.94"
"000625","2022-06-14","119043577.71"
"000625","2022-06-15","118597721.61"
"000625","2022-06-16","118342946.70"
"000625","2022-06-17","120508533.45"
"000625","2022-06-20","121909795.47"
"000625","2022-06-21","128661330.64"
"000625","2022-06-22","125795112.88"
"000625","2022-06-23","138406471.03"
"000625","2022-06-24","142355482.17"
"000625","2022-06-27","153183415.93"
"000625","2022-06-28","168501757.53"
"000625","2022-06-29","151692982.70"
"000625","2022-06-30","143412798.05"
"000625","2022-07-01","150202549.46"
"000625","2022-07-04","148132503.30"
"000625","2022-07-05","142170770.35"
"000625","2022-07-06","145400042.37"
"000625","2022-07-07","157240706.41"
"000625","2022-07-08","147635692.22"
"000625","2022-07-11","143495599.90"
"000625","2022-07-12","137037055.87"
"000625","2022-07-13","140514733.43"
"000625","2022-07-14","140763138.97"
"000625","2022-07-15","148463710.68"
"000625","2022-07-18","147304484.83"
"000625","2022-07-19","148546512.53"
"000625","2022-07-20","145482844.21"
"000625","2022-07-21","141591157.43"
"000625","2022-07-22","145648447.91"
"000625","2022-07-25","139603913.11"
"000625","2022-07-26","141839562.97"
"000625","2022-07-27","143661203.59"
"000625","2022-07-28","147387286.68"
"000625","2022-07-29","151858586.39"
"000625","2022-08-01","166431711.36"
"000625","2022-08-02","165024079.97"
"000625","2022-08-03","153763028.86"
"000625","2022-08-04","150699360.54"
"000625","2022-08-05","147056079.30"
"000625","2022-08-08","149705738.38"
"000625","2022-08-09","144737627.59"
"000625","2022-08-10","143909609.13"
"000625","2022-08-11","144820429.44"
"000625","2022-08-12","141094346.35"
"000625","2022-08-15","140266327.89"
"000625","2022-08-16","142833185.13"
"000625","2022-08-17","144572023.90"
"000625","2022-08-18","141094346.35"
"000625","2022-08-19","135960631.87"
"000625","2022-08-22","139686714.96"
"000625","2022-08-23","135712226.33"
"000625","2022-08-24","125610401.06"
"000625","2022-08-25","125693202.91"
"000625","2022-08-26","125693202.91"
"000625","2022-08-29","125527599.22"
"000625","2022-08-30","127100834.30"
"000625","2022-08-31","120228281.05"
"000625","2022-09-01","119317460.73"
"000625","2022-09-02","119234658.89"
"000625","2022-09-05","116584999.80"
"000625","2022-09-06","120476686.58"
"000625","2022-09-07","118323838.58"
"000625","2022-09-08","116999009.03"
"000625","2022-09-09","116833405.34"
"000625","2022-09-13","119151857.04"
"000625","2022-09-14","117081810.88"
"000625","2022-09-15","111037276.09"
"000625","2022-09-16","108718824.39"
"000625","2022-09-19","110954474.24"
"000625","2022-09-20","111865294.55"
"000625","2022-09-21","113935340.72"
"000625","2022-09-22","110788870.55"
"000625","2022-09-23","109629644.70"
"000625","2022-09-26","110043653.93"
"000625","2022-09-27","111616889.01"
"000625","2022-09-28","105820759.76"
"000625","2022-09-29","107145589.31"
"000625","2022-09-30","103999119.14"
"000625","2022-10-10","99527819.43"
"000625","2022-10-11","100687045.28"
"000625","2022-10-12","106979985.61"
"000625","2022-10-13","105655156.07"
"000625","2022-10-14","109050031.77"
"000625","2022-10-17","106979985.61"
"000625","2022-10-18","105572354.22"
"000625","2022-10-19","103585109.91"
"000625","2022-10-20","102260280.37"
"000625","2022-10-21","100852648.98"
"000625","2022-10-24","99031008.35"
"000625","2022-10-25","100107432.36"
"000625","2022-10-26","99527819.43"
"000625","2022-10-27","98948206.51"
"000625","2022-10-28","93483284.64"
"000625","2022-10-31","93483284.64"
"000625","2022-11-01","96712556.65"
"000625","2022-11-02","102343082.21"
"000625","2022-11-03","100852648.98"
"000625","2022-11-04","105986363.46"
"000625","2022-11-07","105737957.92"
"000625","2022-11-08","104247524.68"
"000625","2022-11-09","103088298.83"
"000625","2022-11-10","101101054.52"
"000625","2022-11-11","103005496.98"
"000625","2022-11-14","101101054.52"
"000625","2022-11-15","104164722.83"
"000625","2022-11-16","102011874.83"
"000625","2022-11-17","99693423.13"
"000625","2022-11-18","97954584.35"
"000625","2022-11-21","99859026.82"
"000625","2022-11-22","98865404.66"
"000625","2022-11-23","98699800.97"
"000625","2022-11-24","100438639.74"
"000625","2022-11-25","97788980.66"
"000625","2022-11-28","96298547.42"
"000625","2022-11-29","101266658.21"
"000625","2022-11-30","111368483.48"
"000625","2022-12-01","113852538.87"
"000625","2022-12-02","112444907.48"
"000625","2022-12-05","114183746.25"
"000625","2022-12-06","115508575.80"
"000625","2022-12-07","116253792.42"
"000625","2022-12-08","114680557.33"
"000625","2022-12-09","115094566.57"
"000625","2022-12-12","110954474.24"
"000625","2022-12-13","111865294.55"
"000625","2022-12-14","109629644.70"
"000625","2022-12-15","112362105.63"
"000625","2022-12-16","111699690.86"
"000625","2022-12-19","111451285.32"
"000625","2022-12-20","109050031.77"
"000625","2022-12-21","106317570.84"
"000625","2022-12-22","110126455.78"
"000625","2022-12-23","106069165.30"
